"id","category","question","optiona","optionb","optionc","optiond","correctkey"
"1","Cognitive Intrusions & OCD Models","A patient repeatedly asks: ""What if I accidentally harmed someone without realizing it?""
The MOST important follow-up question is:","""Have you harmed someone before?""","""Do you believe this thought is definitely true?""","""How often does this happen?""","""What would happen if you ignored the thought?""","b"
"2","Cognitive Intrusions & OCD Models","Which scenario BEST represents thought-action fusion?","""Thinking this means I secretly want it.""","""If I think about harm, it may happen because of me.""","""My thoughts feel intrusive.""","""I can't stop worrying.""","b"
"3","Clinical Formulation Methodologies","A therapist quickly labels a client's avoidance as ""resistance"" without assessing fear, shame, exhaustion, or dissociation.
This primarily reflects:","Poor rapport","Premature formulation","Boundary violation","Symptom minimization","b"
"4","Personology & Needs-Press Theory","A person repeatedly changes cities, quits jobs suddenly, and avoids long-term commitments because ""freedom matters more than stability.""
Which need is MOST central?","nPlay","nExcitance","nAutonomy","nChange","c"
"5","Personology & Needs-Press Theory","A child grows up without emotional support, guidance, or reliable caregivers.
Which press is MOST central?","pLoss","pLack (human support)","pAffliction","pRejection","b"
"6","Socratic Interventions","A client says: ""No one ever stays.""
Which response BEST follows Socratic principles?","""That sounds like abandonment trauma.""","""Who specifically comes to mind when you say 'no one'?""","""That belief is irrational.""","""You need stronger self-esteem.""","b"
"7","Socratic Interventions","Which question BEST explores implication?","""What does this word mean to you?""","""What evidence contradicts this?""","""If this belief is true, what does that mean for your future?""","""How would others see this?""","c"
"8","GAD & Metacognitive Models","According to Wells' model of GAD, Type 2 worry refers to:","Worry about external events","Worry about bodily sensations","Worry about worry itself","Social evaluative worry","c"
"9","Phenomenology & Dissociation","A patient experiences profound unfamiliarity with the external world and says: ""Everything feels unreal and emotionally distant.""
This is MOST accurately:","Depersonalization","Derealization","Emotional blunting","Nihilistic ideation","b"
"10","Formal Thought Disorders","A patient reports: ""My thoughts suddenly disappear midway.""
This MOST specifically reflects:","Thought withdrawal","Thought blocking","Inhibition of thinking","Poverty of thought","b"
"11","Formal Thought Disorders","A patient's speech moves from topic to topic with no understandable connection whatsoever.
This MOST specifically suggests:","Flight of ideas","Loosening of associations","Circumstantiality","Perseveration","b"
"12","Clinical Formulation Methodologies","A therapist identifies: core beliefs, avoidance patterns, attachment dynamics, social reinforcement, and motivational barriers.
This is MOST accurately described as:","Diagnostic assessment","Comprehensive case formulation","Symptom conceptualization","Functional exposure planning","b"
"13","Clinical Formulation Methodologies","Which term BEST describes a disorder model applied broadly across patients?","Idiographic formulation","Mechanistic conceptualization","Nomothetic formulation","Functional analysis","c"
